14491,6,0,32,1,18,2,14,33,1,25,0
24001,^,36,35,1,5,40,35,0,14,1,13
17759,f,39,30,0,0,39,32,0,8,0,10
27311,w,40,22,26,0,40,27,36,2,26,10
870,J,1,24,40,26,38,24,1,2,2,1
30414,o,2,28,2,31,37,36,15,0,2,2
23117,n,0,4,2,30,29,0,0,0,2,1
27964,.,1,21,26,8,35,36,40,23,0,6
26391,y,40,19,38,28,24,0,2,2,39,20
27311,w,11,0,39,33,1,21,0,2,34,2
26903,,13,0,40,2,36,7,2,28,1,17
30414,o,1,22,33,2,1,13,40,0,40,20
26903,,34,35,36,0,37,35,19,0,0,30
43151,e,10,1,40,28,38,27,37,27,40,26
7147,d,1,24,38,33,2,12,33,36,38,24
11574,I,34,1,38,29,15,0,24,1,0,35
1779,comma,37,27,40,1,2,19,0,13,39,22
30045,h,36,6,28,0,39,36,0,36,33,2
7147,d,29,1,1,23,1,31,26,0,0,1
24001,^,2,2,40,1,0,24,39,25,1,20
21026,r,39,27,38,1,25,0,40,23,1,32
7147,d,37,31,36,1,0,24,1,15,33,2
37645,3,0,20,39,31,0,25,39,36,0,33
26003,l,40,28,25,0,1,22,36,9,39,29
26003,l,37,35,37,36,15,0,39,29,10,1
17759,f,35,0,0,26,2,19,37,0,37,36
26391,y,1,2,1,32,1,31,1,1,2,29
1682,,40,35,2,18,40,30,35,35,2,12
21026,r,13,0,19,0,34,35,28,0,39,12
30045,h,1,20,40,30,0,7,36,9,5,0
19760,b,35,2,37,2,39,35,39,22,13,0
7147,d,0,23,5,0,0,14,39,20,37,30
27964,.,2,1,34,36,39,35,39,12,40,21
21026,r,38,29,2,20,40,0,36,2,34,1
870,J,0,20,34,0,0,13,24,0,38,16
20215,1,39,28,2,22,1,12,36,2,0,26
38986,s,0,27,5,0,1,30,29,0,2,15
1682,,37,2,39,27,2,22,39,23,39,28
870,J,0,1,38,15,34,0,2,19,11,0
12525,a,40,2,34,1,0,15,15,0,40,31
21026,r,39,28,0,23,38,31,39,36,39,32
23117,n,2,28,39,35,37,2,37,36,0,29
43151,e,2,12,13,0,0,26,0,18,2,20
23117,n,1,30,35,2,2,18,4,0,27,0
24001,^,0,28,0,10,2,15,38,16,0,7
21026,r,35,1,26,9,40,33,2,28,35,36
38986,s,1,17,26,0,1,23,38,0,40,0
23117,n,40,32,40,36,38,2,26,9,2,32
21026,r,38,0,40,1,0,19,40,33,0,22
35590,E,1,30,37,2,38,0,40,0,39,23
21026,r,13,0,31,0,39,32,0,18,39,33
26903,,37,2,34,2,28,0,26,0,0,9
19760,b,31,0,37,36,39,32,1,11,37,27
42244,m,0,1,2,20,36,8,3,0,2,15
36592,c,1,23,40,0,38,27,28,0,0,21
26391,y,0,35,31,0,39,13,39,24,0,6
38986,s,40,20,0,13,37,32,38,32,0,23
27311,w,15,0,3,0,40,35,1,28,35,0
1424,i,2,10,2,32,2,2,38,16,38,30
36592,c,1,1,29,1,23,0,1,12,38,26
26003,l,35,0,35,36,36,7,40,18,0,10
13685,p,26,9,1,0,23,1,0,21,2,1
30045,h,2,1,38,0,36,7,0,0,0,30
1424,i,37,30,26,9,37,31,39,30,2,12
12525,a,0,31,27,0,1,12,0,18,31,36
1424,i,1,23,40,33,40,32,0,27,38,29
36592,c,37,0,1,20,40,2,34,35,0,29
11574,I,30,0,40,27,36,0,10,0,37,27
21026,r,35,0,24,0,0,14,36,6,0,12
26257,u,0,15,0,13,2,12,29,1,38,27
17759,f,39,0,39,1,1,2,33,36,1,24
30045,h,26,8,0,19,40,26,1,11,35,1
24001,^,37,2,1,0,31,0,40,27,32,36
38986,s,10,1,2,32,33,0,3,0,1,23
35590,E,0,28,2,23,37,28,2,21,0,21
23117,n,38,31,37,30,1,10,23,0,0,22
13685,p,38,36,0,6,39,29,0,7,37,26
30045,h,36,6,5,0,39,20,1,29,37,28
11574,I,38,28,39,32,34,1,36,0,39,28
19760,b,1,33,1,5,1,1,40,21,1,10
24001,^,34,2,39,22,37,31,37,32,36,7
42244,m,0,26,37,26,1,24,32,36,2,10
2118,t,23,0,0,24,19,0,34,35,26,10
1424,i,37,30,0,28,2,13,29,0,0,2
13685,p,40,32,1,17,0,4,34,0,2,32
1424,i,1,5,40,24,24,0,38,32,5,0
38986,s,3,0,0,26,34,2,0,10,0,12
30414,o,38,26,30,0,1,2,36,8,0,36
1682,,39,30,1,15,0,27,1,0,2,31
24001,^,39,13,0,17,40,26,2,2,37,36
38986,s,39,32,1,28,3,0,0,31,0,13
24001,^,40,2,36,2,2,32,38,32,28,0
