+----+----+----+----+----+----+----+---+---+---+---+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+
|    | 0  | 1  | 2  | 3  | 4  | 5  | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 |
| 25 | 16 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 14 | 15 | 15 |    |    |    |    |    |    |    |
| 26 | 18 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 15 | 13 | 12 | 16 |    |    |    |    |    |    |    |
| 27 | 21 |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 19 | 22 | 19 | 19 |    |    |    |    |    |    |    |
| 28 | 11 | 15 | 17 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 17 | 15 | 16 | 19 |    |    |    |    |    |    |    |
| 29 | 19 | 15 | 16 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 15 | 23 | 13 | 15 |    |    |    |    |    |    |    |
| 30 | 20 | 14 | 15 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 20 | 14 | 19 | 19 |    |    |    |    |    |    |    |
| 31 | 20 | 18 | 13 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 18 | 20 | 19 | 16 |    |    |    |    |    |    |    |
| 32 | 16 | 19 | 15 |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 17 | 18 | 20 | 17 |    |    |    |    |    |    |    |
| 33 | 20 | 15 |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    | 16 | 16 | 13 |    |    |    |    |    |    |    |
| 34 |    |    |    |    |    |    |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |
